name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result
0;0.01;True;0.0;True;0.0;True;0.86;True;0.0002156599999999509;0.05;True;0.03;True;0.03;True;0.01;True
1;0.01;True;0.03;True;0.07;True;0.88;True;0.006389996000000009;0.09;True;0.19;True;0.16;True;0.01;True
2;0.11;True;0.73;True;1.68;True;0.86;True;0.012472753000000059;0.33;True;0.79;True;2.89;True;0.02;True
3;0.44;True;5.11;True;11.91;True;0.82;True;0.01839666800000006;2.09;True;4.74;True;18.55;True;0.01;True
4;1.24;True;20.87;True;ERR;ERR;0.86;True;0.024370704000000076;8.45;True;18.9;True;61.59;True;0.01;True
5;2.91;True;65.7;True;ERR;ERR;0.83;True;0.030613290999999987;25.18;True;56.38;True;167.67;True;0.02;True
6;5.88;True;153.4;True;ERR;ERR;0.97;True;0.03735936699999998;61.95;True;138.5;True;TO;TO;0.02;True
7;10.56;True;TO;TO;ERR;ERR;0.89;True;0.043341233000000035;132.85;True;296.76;True;TO;TO;0.01;True
8;17.48;True;TO;TO;ERR;ERR;0.87;True;0.04862753799999997;257.33;True;TO;TO;TO;TO;0.02;True
9;27.55;True;TO;TO;ERR;ERR;0.88;True;0.05310937299999996;TO;TO;TO;TO;TO;TO;0.01;True
10;41.21;True;TO;TO;ERR;ERR;0.86;True;0.05997578999999997;TO;TO;TO;TO;TO;TO;0.01;True
11;60.79;True;TO;TO;ERR;ERR;0.87;True;0.06678801700000003;TO;TO;TO;TO;TO;TO;0.01;True
12;84.28;True;TO;TO;ERR;ERR;0.89;True;0.07156558099999999;TO;TO;TO;TO;TO;TO;0.01;True
13;117.97;True;TO;TO;ERR;ERR;1.11;True;0.07858191800000003;TO;TO;TO;TO;TO;TO;0.01;True
14;160.05;True;TO;TO;ERR;ERR;0.92;True;0.08427072399999991;TO;TO;TO;TO;TO;TO;0.02;True
15;204.23;True;TO;TO;ERR;ERR;0.9;True;0.08916461899999995;TO;TO;TO;TO;TO;TO;0.02;True
16;270.3;True;TO;TO;ERR;ERR;0.92;True;0.10199957199999998;TO;TO;TO;TO;TO;TO;0.02;True
17;TO;TO;TO;TO;ERR;ERR;0.91;True;0.10329196400000007;TO;TO;TO;TO;TO;TO;0.01;True
18;TO;TO;TO;TO;ERR;ERR;0.93;True;0.11002729999999994;TO;TO;TO;TO;TO;TO;0.01;True
19;TO;TO;TO;TO;ERR;ERR;0.91;True;0.11411097399999992;TO;TO;TO;TO;TO;TO;0.02;True
20;TO;TO;TO;TO;ERR;ERR;0.93;True;0.12494095500000002;TO;TO;TO;TO;TO;TO;0.01;True
