name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.01;True;0.0;False;0.01;False;4.0;False;3.1188881200000003;3.29;False;2.43047313;0.07;False;0.07;False;0.06;False;ERR;ERR;ERR
1;0.01;True;2.39;False;0.01;False;5.75;False;3.8458304220000006;4.87;False;2.965657542;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
2;0.01;True;0.04;False;0.01;False;5.99;False;4.192706143;5.08;False;3.2270116730000002;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.01;True;59.38;False;0.01;False;1.35;False;1.312255646;1.14;False;1.098980269;8.29;False;0.1;False;30.38;False;0.06;False;0.06337042339146137
4;0.02;True;0.02;False;0.01;False;2.25;False;2.204749691;1.9;False;1.867863272;0.05;False;0.1;False;0.06;False;ERR;ERR;ERR
5;ERR;ERR;0.01;False;0.0;False;0.07;False;0.0004709970000000008;0.09;False;0.0003723989999999955;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
6;0.01;True;0.02;False;0.01;False;0.01;False;4.226300000000072e-05;0.02;False;3.286000000000261e-05;0.04;False;0.05;False;0.05;False;ERR;ERR;ERR
7;0.02;True;TO;TO;0.01;False;4.51;False;3.4708675039999997;3.99;False;2.894149707;TO;TO;TO;TO;TO;TO;0.02;False;0.0163137074559927
8;0.01;True;2.53;False;0.0;False;0.89;False;0.797029651;0.77;False;0.659611238;0.47;False;0.09;False;1.05;False;ERR;ERR;ERR
9;0.01;True;TO;TO;0.01;False;0.79;False;0.7405423830000001;0.65;False;0.5765580640000001;TO;TO;1.66;False;TO;TO;ERR;ERR;ERR
10;0.01;True;0.01;False;0.01;False;2.43;False;2.100909405;2.0;False;1.655887668;0.06;False;0.05;False;0.06;False;ERR;ERR;ERR
