name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;nolocrsa-runtime;nolocrsa-result;nolocrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.16;False;0.08;False;0.1;False;0.49;False;0.08111185900000001;0.13;False;0.02469909299999999;0.06;False;0.05;False;0.19;False;ERR;ERR;ERR
1;0.02;False;0.0;False;0.01;False;29.8;False;0.08147345100000081;0.89;False;0.01500235900000002;0.06;False;ERR;ERR;0.03;False;ERR;ERR;ERR
2;0.01;False;0.0;False;0.01;False;0.5;False;0.25361752000000004;0.17;False;0.103527345;0.06;False;0.06;False;0.05;False;ERR;ERR;ERR
3;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.6;False;3.4070999999968876e-05;0.04;False;0.03;False;0.03;False;0.04;False;0.034636303782463074
4;0.0;True;0.01;True;0.01;True;0.17;True;0.0017713689999999949;0.04;True;0.0003341209999999997;0.07;True;TO;TO;0.03;True;ERR;ERR;ERR
5;0.01;False;82.34;False;0.01;False;0.61;False;0.455194697;0.24;False;0.190649204;12.23;False;60.24;False;TO;TO;ERR;ERR;ERR
6;0.0;False;0.01;False;0.06;False;TO;TO;TO;19.0;False;0.05252630199999686;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
7;0.01;False;0.01;False;0.01;False;0.03;False;1.3350000000002249e-05;0.03;False;1.3591000000000297e-05;0.05;False;0.04;False;0.04;False;0.05;False;0.04813895095139742
8;0.01;False;0.26;False;0.0;False;TO;TO;TO;34.68;False;0.07101787700000273;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
9;0.01;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.05;False;0.05;False;0.04;False;ERR;ERR;ERR
10;0.01;False;0.01;False;0.01;False;0.28;False;0.240787472;0.14;False;0.10671178399999999;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
11;0.01;True;0.0;True;0.01;True;10.35;True;4.512206023000001;0.13;True;0.058347099;0.06;True;ERR;ERR;0.03;True;ERR;ERR;ERR
12;TO;TO;0.46;False;0.8;False;0.26;False;0.226644413;0.12;False;0.087628871;0.16;False;0.63;False;1.84;False;0.29;True;0.29455732833594084
13;0.01;False;0.0;True;ERR;ERR;TO;TO;TO;TO;TO;TO;0.06;True;0.04;True;0.05;True;ERR;ERR;ERR
14;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.17;False;0.03890206199999999;0.06;False;ERR;ERR;0.04;False;0.03;False;0.028081531636416912
15;0.01;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
16;0.01;False;TO;TO;0.0;False;TO;TO;TO;ERR;ERR;ERR;TO;TO;ERR;ERR;TO;TO;ERR;ERR;ERR
17;0.0;True;0.01;True;0.0;True;0.39;True;0.19015957;0.13;True;0.070868503;0.06;True;0.07;True;0.04;True;0.0;False;0.003233117051422596
18;0.01;False;0.0;True;0.01;True;8.32;True;0.3301940219999997;1.14;True;0.04228300600000012;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
19;ERR;ERR;0.01;False;0.01;False;2.08;False;0.15347299299999984;0.18;False;0.040916426000000006;0.06;False;0.05;False;0.02;False;ERR;ERR;ERR
20;0.02;False;0.01;False;0.01;False;TO;TO;TO;0.8;False;0.045653076000000015;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
21;0.0;False;0.01;False;0.01;False;45.39;False;0.00013028600000097867;0.09;False;3.79769999999946e-05;0.06;False;0.05;False;0.03;False;ERR;ERR;ERR
22;0.01;False;0.01;False;0.0;False;0.2;False;8.656900000000856e-05;0.03;False;2.1132000000000095e-05;0.05;False;0.03;False;0.04;False;ERR;ERR;ERR
23;0.01;False;TO;TO;0.01;False;2.79;False;0.12647457799999984;0.25;False;0.03596920000000001;TO;TO;5.65;False;67.2;False;ERR;ERR;ERR
24;0.0;False;0.02;False;0.02;False;0.03;False;0.0003460990000000025;0.03;False;0.00022445699999999735;0.06;False;0.17;False;0.07;False;ERR;ERR;ERR
