name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;notrackrsa-runtime;notrackrsa-result;notrackrsa-matchtime;js-runtime;java-runtime;net-runtime;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
1;0.02;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
2;0.02;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.14;False;0.07;False;0.09;False;0.52;False;0.08366565199999998;1.15;False;0.12080987500000007;ERR;ERR;ERR;0.04;False;0.03297942178323865
4;0.03;True;0.11;True;0.2;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
5;0.01;False;0.01;False;0.01;False;33.95;False;0.08327874200000096;18.88;False;0.07579606000000005;ERR;ERR;ERR;ERR;ERR;ERR
6;0.0;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
7;0.0;False;0.01;False;0.01;False;0.53;False;0.274686534;0.41;False;0.286520738;ERR;ERR;ERR;0.13;False;0.12143452791497111
8;ERR;ERR;0.0;True;0.01;True;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
9;0.01;False;0.0;False;0.01;False;3.07;False;0.19457746099999973;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
10;0.02;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
11;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
12;0.01;True;0.0;True;0.0;True;0.15;True;0.0018441580000000124;0.16;True;0.004122186999999999;ERR;ERR;ERR;0.01;True;0.002522315364331007
13;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
14;0.0;False;82.21;False;0.0;False;0.62;False;0.46951323899999997;1.02;False;0.9250931649999999;ERR;ERR;ERR;0.23;False;0.22786686336621642
15;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
16;0.01;False;0.01;False;0.07;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
17;0.01;False;0.01;False;0.01;False;0.03;False;1.4631999999993595e-05;0.03;False;1.4831999999999346e-05;ERR;ERR;ERR;0.02;False;0.0019303606823086739
18;0.0;False;0.03;False;0.04;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
19;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
20;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
21;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
22;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
23;0.01;False;0.26;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
24;0.02;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
25;0.02;False;0.08;False;0.01;False;32.8;False;0.16960307499999772;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
26;0.01;False;0.01;False;0.0;False;1.23;False;0.17002088199999998;21.02;False;0.2685804279999999;ERR;ERR;ERR;0.07;False;0.0737244407646358
27;0.02;False;0.0;False;0.01;False;0.03;False;8.754100000000348e-05;0.03;False;9.030600000000527e-05;ERR;ERR;ERR;0.0;False;0.005564102903008461
28;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
29;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
30;0.0;False;38.36;False;87.61;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
31;ERR;ERR;30.94;True;25.44;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
32;1.29;True;0.01;True;0.01;True;0.38;True;0.155783551;5.93;True;0.4131359659999996;ERR;ERR;ERR;0.06;True;0.06944099487736821
33;0.01;False;4.55;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
34;0.02;False;0.0;False;0.02;False;0.27;False;0.22832811099999997;0.25;False;0.21607155400000003;ERR;ERR;ERR;0.13;False;0.1254270919598639
35;0.01;False;46.62;False;55.32;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
36;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
37;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
38;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
39;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
40;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
41;0.01;True;0.0;True;0.01;True;9.57;True;3.8759831929999997;10.23;True;8.692420724;ERR;ERR;ERR;ERR;ERR;ERR
42;TO;TO;0.47;False;0.78;False;0.27;False;0.23871033400000002;0.37;False;0.33118248499999997;ERR;ERR;ERR;0.13;False;0.11683596298098564
43;0.01;False;0.01;True;0.01;True;0.23;True;0.207733528;0.24;True;0.20873446;ERR;ERR;ERR;0.1;True;0.10028496291488409
44;0.01;False;0.0;True;ERR;ERR;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
45;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
46;0.0;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
47;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
48;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
49;0.01;False;TO;TO;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
50;0.02;True;0.0;True;0.01;True;0.39;True;0.19571813300000002;0.97;True;0.6824180879999999;ERR;ERR;ERR;0.08;True;0.07838009390980005
51;0.01;False;0.01;True;0.01;True;7.71;True;0.3267053149999999;12.33;True;0.644653936000001;ERR;ERR;ERR;ERR;ERR;ERR
52;ERR;ERR;0.01;False;0.01;False;2.19;False;0.15419661899999992;4.25;False;0.14664512399999996;ERR;ERR;ERR;ERR;ERR;ERR
53;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
54;ERR;ERR;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
55;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
56;0.01;False;0.0;False;0.01;False;TO;TO;TO;28.56;False;0.22104237499999968;ERR;ERR;ERR;ERR;ERR;ERR
57;0.01;False;0.01;False;0.01;False;47.92;False;0.00013997000000642856;4.83;False;9.853800000048096e-05;ERR;ERR;ERR;ERR;ERR;ERR
58;0.0;False;1.0;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
59;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
60;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
61;0.01;False;0.01;False;0.01;False;0.19;False;7.799699999999632e-05;0.06;False;6.014000000000019e-05;ERR;ERR;ERR;0.02;False;0.009727307129651308
62;0.01;False;TO;TO;0.01;False;2.84;False;0.12496374100000018;2.96;False;0.3344172900000002;ERR;ERR;ERR;ERR;ERR;ERR
63;0.01;False;0.02;False;0.02;False;0.03;False;0.0003394489999999986;0.03;False;0.0003057389999999993;ERR;ERR;ERR;0.02;False;0.0055459039285779
64;TO;TO;57.12;True;0.48;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
65;ERR;ERR;0.0;False;0.0;False;11.73;False;0.00017442199999884167;6.58;False;0.00015289999999978932;ERR;ERR;ERR;ERR;ERR;ERR
66;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
67;0.03;True;0.11;True;0.21;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
68;0.01;False;0.04;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
