name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result
0;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;ERR;ERR;0.04;True
1;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.04;True;0.04;True
2;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.15;False;0.07;False;0.09;False;0.47;False;0.08418084399999998;0.06;False;0.05;False;0.16;False
4;0.03;True;0.11;True;0.22;True;ERR;ERR;ERR;0.09;True;ERR;ERR;0.35;True
5;0.01;False;0.0;False;0.01;False;26.61;False;0.0822641019999999;0.06;False;ERR;ERR;0.02;False
6;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.34;False;0.04;True
7;0.01;False;0.01;False;0.01;False;0.48;False;0.261375601;0.05;False;0.08;False;0.04;False
8;ERR;ERR;0.0;True;0.01;True;TO;TO;TO;0.05;True;0.05;True;0.04;True
9;0.0;False;0.01;False;0.01;False;2.53;False;0.18851952800000005;0.07;False;0.04;False;0.02;False
10;0.02;False;0.01;False;0.0;False;TO;TO;TO;0.06;False;0.03;False;0.03;False
11;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.07;False;0.02;False;0.03;False
12;0.02;True;0.01;True;0.01;True;0.17;True;0.0017098020000000103;0.07;True;TO;TO;0.04;True
13;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.02;False
14;0.01;False;84.16;False;0.01;False;0.59;False;0.448711609;12.21;False;61.77;False;TO;TO
15;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.05;False
16;0.01;False;0.01;False;0.05;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
17;0.01;False;0.01;False;0.01;False;0.03;False;5.400000000002625e-06;0.06;False;0.03;False;0.04;False
18;0.01;False;0.02;False;0.04;False;ERR;ERR;ERR;ERR;ERR;0.18;False;0.1;False
19;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.02;False;0.03;False
20;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False
21;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False
22;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
23;0.01;False;0.24;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
24;0.0;False;0.01;False;0.01;False;TO;TO;TO;0.05;False;0.05;False;0.04;False
25;0.01;False;0.07;False;0.01;False;31.81;False;0.17144744099999798;0.07;False;0.05;False;0.34;False
26;0.01;False;0.01;False;0.01;False;1.06;False;0.17203709199999995;0.05;False;0.06;False;0.05;False
27;0.0;False;0.01;False;0.01;False;0.03;False;8.446000000000148e-05;0.06;False;0.02;False;0.03;False
