name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
0;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;ERR;ERR;0.05;True;ERR
1;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.06;True;0.05;True;ERR
2;0.02;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.15;False;0.08;False;0.1;False;0.58;False;0.083438063;0.06;False;0.06;False;0.17;False;ERR
4;0.03;True;0.11;True;0.22;True;ERR;ERR;ERR;0.1;True;ERR;ERR;0.35;True;ERR
5;0.01;False;0.0;False;0.01;False;30.54;False;0.08493242500000164;0.05;False;ERR;ERR;0.03;False;ERR
6;0.02;False;0.01;True;0.01;True;ERR;ERR;ERR;0.07;True;0.32;False;0.05;True;ERR
7;0.01;False;0.01;False;0.02;False;0.53;False;0.263270013;0.05;False;0.07;False;0.03;False;ERR
8;ERR;ERR;0.01;True;0.01;True;TO;TO;TO;0.07;True;0.05;True;0.04;True;ERR
9;0.01;False;0.01;False;0.0;False;2.98;False;0.18718324699999966;0.06;False;0.05;False;0.05;False;ERR
10;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.06;False;0.03;False;0.03;False;ERR
11;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.05;False;ERR
12;0.01;True;0.01;True;0.01;True;0.19;True;0.001798932000000003;0.06;True;TO;TO;0.04;True;ERR
13;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.05;False;ERR
14;0.01;False;85.4;False;0.02;False;0.62;False;0.46013607999999995;12.29;False;60.43;False;TO;TO;ERR
15;0.01;False;0.01;False;0.02;False;ERR;ERR;ERR;0.05;False;0.06;False;0.03;False;ERR
16;0.01;False;0.01;False;0.06;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR
17;0.02;False;0.0;False;0.01;False;0.03;False;1.78300000000034e-05;0.06;False;0.02;False;0.03;False;ERR
18;0.01;False;0.02;False;0.03;False;ERR;ERR;ERR;ERR;ERR;0.2;False;0.1;False;ERR
