name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result
0;0.02;False;0.02;True;0.01;True;ERR;ERR;ERR;0.07;True;ERR;ERR;0.08;True
1;0.01;False;0.02;True;0.01;True;ERR;ERR;ERR;0.06;True;0.06;True;0.04;True
2;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.14;False;0.07;False;0.08;False;0.46;False;0.089217359;0.06;False;0.06;False;0.18;False
4;0.03;True;0.11;True;0.23;True;ERR;ERR;ERR;0.1;True;ERR;ERR;0.34;True
5;0.01;False;0.01;False;0.01;False;32.61;False;0.08294575299999707;0.07;False;ERR;ERR;0.03;False
6;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.34;False;0.04;True
7;0.01;False;0.01;False;0.01;False;0.5;False;0.25642339599999997;0.06;False;0.06;False;0.05;False
8;ERR;ERR;0.0;True;0.01;True;TO;TO;TO;0.05;True;0.04;True;0.04;True
9;0.02;False;0.01;False;0.01;False;2.65;False;0.1856132060000002;0.06;False;0.04;False;0.05;False
10;0.01;False;0.0;False;0.01;False;TO;TO;TO;0.06;False;0.03;False;0.05;False
11;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False
12;0.02;True;0.0;True;0.01;True;0.16;True;0.001725151000000008;0.07;True;TO;TO;0.03;True
13;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.02;False
14;0.01;False;84.19;False;0.0;False;0.6;False;0.47923114899999997;12.19;False;60.11;False;TO;TO
15;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.06;False;0.04;False
16;0.0;False;0.0;False;0.06;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
17;0.01;False;0.01;False;0.01;False;0.03;False;6.369999999998599e-06;0.06;False;0.02;False;0.04;False
18;0.01;False;0.01;False;0.04;False;ERR;ERR;ERR;ERR;ERR;0.2;False;0.09;False
19;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.02;False;0.05;False
20;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False
21;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
22;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.03;False
23;0.01;False;0.24;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
24;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.06;False;0.06;False;0.03;False
25;0.01;False;0.08;False;0.01;False;30.37;False;0.16936700999999843;0.07;False;0.04;False;0.35;False
26;0.02;False;0.01;False;0.01;False;1.05;False;0.1627941930000001;0.06;False;0.06;False;0.03;False
27;0.01;False;0.01;False;0.01;False;0.03;False;8.183999999999969e-05;0.07;False;0.04;False;0.03;False
28;0.0;False;TO;TO;TO;TO;ERR;ERR;ERR;8.62;False;0.33;False;TO;TO
29;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
30;0.0;False;41.4;False;88.21;False;ERR;ERR;ERR;1.9;False;0.27;False;TO;TO
31;ERR;ERR;30.35;True;24.08;True;ERR;ERR;ERR;2.6;True;34.72;False;41.88;True
32;1.3;True;0.01;True;0.0;True;0.36;True;0.15468433500000003;0.06;True;0.04;False;0.06;True
33;0.01;False;3.45;False;0.01;False;ERR;ERR;ERR;6.25;False;18.26;False;0.15;False
34;0.01;False;0.0;False;0.01;False;0.27;False;0.22441423400000002;0.06;False;0.06;False;0.04;False
35;0.01;False;41.34;False;55.14;False;ERR;ERR;ERR;2.81;False;0.23;False;TO;TO
36;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.02;False;0.02;False
37;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False
38;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
39;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.04;False
40;0.0;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.16;False;41.48;False
41;0.0;True;0.01;True;0.01;True;8.8;True;4.026365135;0.06;True;ERR;ERR;0.04;True
42;TO;TO;0.38;False;0.77;False;0.26;False;0.228964499;0.16;False;0.6;False;1.47;False
43;0.01;False;0.01;True;0.01;True;0.23;True;0.20690620699999998;0.06;True;0.05;True;0.05;True
44;0.01;False;0.01;True;ERR;ERR;TO;TO;TO;0.06;True;0.04;True;0.04;True
45;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;ERR;ERR;0.05;False
46;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.06;False;0.04;False;0.02;False
47;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;ERR;ERR;0.03;True
48;ERR;ERR;0.01;True;0.0;True;ERR;ERR;ERR;0.05;True;0.05;True;0.03;True
49;0.01;False;TO;TO;0.01;False;TO;TO;TO;TO;TO;ERR;ERR;TO;TO
50;0.01;True;0.01;True;0.01;True;0.37;True;0.193199164;0.07;True;0.05;True;0.04;True
51;0.02;False;0.01;True;0.01;True;7.02;True;0.3232207730000001;ERR;ERR;ERR;ERR;ERR;ERR
52;ERR;ERR;0.01;False;0.01;False;1.77;False;0.15049845100000003;0.05;False;0.06;False;0.03;False
53;0.0;False;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.04;False;0.03;True
54;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.06;False;ERR;ERR;0.04;False
55;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.04;False
