name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
0;0.01;True;0.01;False;0.01;False;6.23;False;0.27675084700000063;0.08;False;0.04;False;0.03;False;ERR
1;0.02;True;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
2;0.02;True;TO;TO;0.02;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
4;0.01;True;22.5;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
5;0.01;True;0.26;False;0.01;False;4.45;False;0.3388456689999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR
6;0.02;True;0.01;False;0.02;False;4.06;False;0.39846003900000015;ERR;ERR;ERR;ERR;ERR;ERR;ERR
7;0.01;True;0.2;False;0.1;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
8;0.01;True;0.1;False;0.06;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
9;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
10;0.01;True;0.0;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
11;0.01;True;27.83;False;0.01;False;ERR;ERR;ERR;ERR;ERR;0.17;False;61.08;False;ERR
12;0.01;True;1.28;False;0.01;False;ERR;ERR;ERR;0.3;False;0.04;False;2.21;False;ERR
13;0.01;True;3.55;False;0.01;False;ERR;ERR;ERR;0.46;False;0.05;False;0.04;False;ERR
14;0.02;True;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False;ERR
15;0.01;True;6.0;False;0.01;False;0.39;False;0.264396764;0.87;False;0.05;False;10.64;False;ERR
16;0.01;True;0.0;False;0.02;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
17;0.01;True;0.01;False;0.01;False;0.62;False;0.20697336700000002;0.06;False;0.05;False;0.04;False;ERR
18;0.0;True;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.06;False;0.05;False;ERR
19;ERR;ERR;0.01;False;0.01;False;10.71;False;0.00010724999999922602;0.07;False;0.03;False;0.04;False;ERR
20;0.01;True;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
21;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False;ERR
22;0.02;True;0.01;False;0.01;False;0.03;False;1.608000000000165e-05;0.06;False;0.04;False;0.03;False;ERR
23;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;13.1;False;TO;TO;ERR
24;0.01;True;0.1;False;0.01;False;ERR;ERR;ERR;0.08;False;0.1;False;0.1;False;ERR
25;0.01;True;TO;TO;0.01;False;46.82;False;3.9594180690000016;TO;TO;TO;TO;TO;TO;ERR
26;0.01;True;0.26;False;0.0;False;0.71;False;0.07748141800000008;0.1;False;0.05;False;0.65;False;ERR
27;0.01;True;1.61;False;0.0;False;ERR;ERR;ERR;0.53;False;0.07;False;4.13;False;ERR
28;ERR;ERR;2.19;False;0.01;False;ERR;ERR;ERR;0.32;False;0.04;False;4.26;False;ERR
29;0.01;True;0.64;False;0.0;False;ERR;ERR;ERR;0.08;False;0.06;False;1.68;False;ERR
30;0.01;True;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO;ERR
31;0.01;True;1.62;False;0.01;False;ERR;ERR;ERR;0.49;False;0.06;False;4.16;False;ERR
32;ERR;ERR;0.84;False;1.31;False;ERR;ERR;ERR;0.21;False;0.38;False;1.32;False;ERR
33;0.02;True;69.99;False;0.01;False;0.44;False;0.07415907399999999;15.99;False;0.27;False;TO;TO;ERR
34;0.01;True;0.01;False;0.01;False;3.82;False;0.18671702700000026;0.05;False;0.04;False;0.04;False;ERR
35;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.07;False;0.04;False;ERR
36;0.01;True;2.04;False;0.0;False;ERR;ERR;ERR;0.43;False;0.05;False;4.3;False;ERR
37;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.17;False;TO;TO;ERR
38;0.01;True;17.1;False;0.02;False;ERR;ERR;ERR;1.07;False;0.18;False;44.81;False;ERR
39;0.01;True;3.17;False;0.01;False;ERR;ERR;ERR;0.65;False;0.09;False;7.8;False;ERR
40;ERR;ERR;1.74;False;0.0;False;ERR;ERR;ERR;0.41;False;0.04;False;3.46;False;ERR
41;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False;ERR
42;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.22;False;TO;TO;ERR
43;0.01;True;4.87;False;2.61;False;ERR;ERR;ERR;0.37;False;ERR;ERR;6.67;False;ERR
44;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;39.35;False;1.32;False;TO;TO;ERR
45;0.01;True;0.85;False;0.01;False;ERR;ERR;ERR;1.17;False;0.13;False;0.18;False;ERR
46;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.04;False;ERR
47;0.0;True;1.71;False;0.01;False;ERR;ERR;ERR;0.18;False;1.42;False;0.04;False;ERR
48;0.01;True;0.57;False;0.01;False;ERR;ERR;ERR;0.1;False;0.06;False;1.76;False;ERR
49;0.01;True;0.0;False;0.02;False;ERR;ERR;ERR;0.06;False;0.04;False;0.05;False;ERR
50;0.01;True;0.1;False;0.06;False;ERR;ERR;ERR;0.21;False;0.23;False;0.13;False;ERR
51;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False;ERR
52;ERR;ERR;0.99;False;1.55;False;ERR;ERR;ERR;0.24;False;0.15;False;1.49;False;ERR
53;ERR;ERR;1.78;False;0.02;False;ERR;ERR;ERR;0.41;False;0.02;False;3.48;False;ERR
54;0.01;True;2.03;False;0.01;False;ERR;ERR;ERR;0.43;False;0.05;False;4.19;False;ERR
55;0.01;True;0.57;False;0.03;False;ERR;ERR;ERR;0.3;False;0.22;False;0.38;False;ERR
