name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime
0;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
1;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
2;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
3;0.13;False;0.07;False;0.09;False;0.48;False;0.08597569500000002
4;0.03;True;0.11;True;0.18;True;ERR;ERR;ERR
5;0.01;False;0.0;False;0.01;False;TO;TO;TO
6;0.0;False;0.01;True;0.01;True;ERR;ERR;ERR
7;0.01;False;0.0;False;0.01;False;0.48;False;0.248567677
8;ERR;ERR;0.0;True;0.01;True;TO;TO;TO
9;0.01;False;0.01;False;0.01;False;2.53;False;0.2131007239999998
10;0.01;False;0.01;False;0.01;False;TO;TO;TO
11;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
12;0.01;True;0.01;True;0.01;True;0.19;True;0.005282892000000011
13;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
14;0.01;False;TO;TO;0.01;False;0.57;False;0.41335481999999996
15;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
16;0.01;False;0.01;False;0.06;False;TO;TO;TO
17;0.01;False;0.01;False;0.01;False;0.03;False;3.764100000000492e-05
18;0.01;False;0.01;False;0.03;False;ERR;ERR;ERR
19;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
20;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
21;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
22;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
23;0.01;False;0.23;False;0.01;False;TO;TO;TO
24;0.01;False;0.0;False;0.01;False;TO;TO;TO
25;0.01;False;0.07;False;0.01;False;TO;TO;TO
26;0.01;False;0.01;False;0.01;False;1.08;False;0.17623466199999993
27;0.01;False;0.0;False;0.01;False;0.03;False;0.00019741000000000203
28;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
29;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
30;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
31;ERR;ERR;TO;TO;TO;TO;ERR;ERR;ERR
32;1.42;True;0.01;True;0.01;True;0.35;True;0.143990883
33;0.01;False;TO;TO;0.0;False;ERR;ERR;ERR
34;0.02;False;0.0;False;0.0;False;0.26;False;0.209005106
35;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
36;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
37;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
38;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
39;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
40;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
41;0.01;True;0.01;True;0.01;True;TO;TO;TO
42;TO;TO;0.36;False;0.65;False;0.25;False;0.20967932700000003
43;0.01;False;0.01;True;0.01;True;0.22;True;0.189196787
