name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.01;True;0.0;False;0.02;False;3.9;False;3.086751142;3.27;False;2.38627576;0.06;False;0.05;False;0.07;False;ERR;ERR;ERR
1;0.02;True;2.73;False;0.01;False;5.68;False;3.7961495019999996;4.75;False;2.918073599;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
2;0.01;True;0.04;False;0.01;False;6.16;False;4.360028954;5.21;False;3.297823705;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.01;True;59.57;False;0.01;False;1.34;False;1.304831931;1.17;False;1.144477341;8.22;False;0.14;False;30.44;False;0.07;False;0.06379419192671776
4;0.01;True;0.02;False;0.01;False;2.19;False;2.153566563;1.85;False;1.809031614;0.06;False;0.09;False;0.04;False;ERR;ERR;ERR
5;ERR;ERR;0.01;False;0.01;False;0.07;False;0.00044919499999999946;0.08;False;0.0003643059999999948;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
6;0.0;True;0.01;False;0.01;False;0.01;False;0.00014915399999999857;0.02;False;3.487199999999829e-05;0.07;False;0.03;False;0.05;False;ERR;ERR;ERR
7;0.01;True;TO;TO;0.01;False;4.56;False;3.566837884;3.54;False;2.55301885;TO;TO;TO;TO;TO;TO;0.02;False;0.016318611800670624
8;0.01;True;2.53;False;0.01;False;0.89;False;0.80155179;0.73;False;0.632044528;0.48;False;0.14;False;1.05;False;ERR;ERR;ERR
9;0.02;True;TO;TO;0.01;False;0.82;False;0.744014275;0.65;False;0.586876191;TO;TO;1.63;False;TO;TO;ERR;ERR;ERR
10;0.01;True;0.01;False;0.01;False;2.49;False;2.173691092;1.98;False;1.6612858940000002;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
11;0.01;True;TO;TO;0.01;False;1.07;False;1.0090152319999999;0.8;False;0.737156592;TO;TO;7.55;False;TO;TO;ERR;ERR;ERR
12;0.01;True;0.01;True;ERR;ERR;1.69;False;1.659081452;1.2;False;1.170043895;0.06;True;0.19;False;0.05;True;0.13;True;0.12387769855558872
13;0.01;True;0.01;False;0.01;False;0.04;False;0.00035985999999999657;0.03;False;0.0002790579999999987;0.04;False;0.02;False;0.04;False;ERR;ERR;ERR
